Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_Sulfur_Dioxide,Total_Sulfur_Dioxide,Density,pH,Sulphates,Alcohol,Predicted_quality,Actual_Label,Predicted_Label,quality,Original_quality
-0.08,-0.74,-0.53,1.39,-0.5,2.74,0.94,0.28,-1.61,0.3,-0.06,0,Medium,Medium,0.2,0
0.01,-0.87,-0.01,0.55,0.05,0.11,1.75,0.56,0.55,0.54,-0.15,0,Medium,Medium,0.2,0
-0.92,1.8,-2.32,-0.87,-0.46,-0.38,-0.68,-0.22,0.55,-1.11,-0.99,0,Low,Medium,-2.15,-2
-1.2,0.36,-0.46,-0.31,-0.96,0.48,0.11,-1.08,-0.17,0.85,0.53,1,Medium,High,0.2,0
0.57,1.33,-1.87,-0.78,1.02,-1.29,-1.41,0.66,0.82,-0.32,-0.65,0,Medium,Medium,0.2,0
1.51,0.53,0.73,0.27,1.21,-0.31,-1.36,0.36,0.1,1.95,1.71,1,High,High,1.38,1
-0.36,1.2,-0.53,-0.68,-0.41,-0.99,0.72,-1.4,-0.04,0.62,2.05,0,Medium,Medium,0.2,0
1.13,-0.47,-0.01,-0.71,-1.06,-0.99,0.46,-1.27,-1.8,1.95,1.37,0,Medium,Medium,0.2,0
-0.46,-0.07,0.14,-0.59,0.01,0.6,1.9,-0.41,-0.49,0.62,-0.48,0,Medium,Medium,-0.97,-1
1.13,1.86,-0.08,-0.68,1.48,-1.17,-1.21,1.04,1.14,0.7,-0.32,0,Medium,Medium,0.2,0
2.54,-1.14,1.11,-0.75,-0.27,-0.44,0.26,0.56,-1.21,1.17,-0.82,0,Medium,Medium,-0.97,-1
-1.2,-0.74,-0.46,-0.82,-1.29,-0.56,-0.13,-0.7,0.95,0.46,-0.15,0,Medium,Medium,0.2,0
2.63,0.46,1.63,0.39,2.08,-1.48,-1.78,1.54,0.29,2.34,0.95,1,High,High,1.38,1
-0.64,-0.61,-0.61,-0.71,-0.27,-0.01,0.31,-1.25,-0.69,0.15,0.7,0,High,Medium,1.38,1
-0.18,-0.81,0.14,-0.85,0.19,0.3,0.37,-0.18,2.65,2.03,-0.23,0,Medium,Medium,0.2,0
-0.18,-0.27,0.06,0.18,-0.55,-0.86,-0.07,-0.47,-1.21,0.46,0.53,0,Medium,Medium,-0.97,-1
2.35,-0.27,1.11,-0.84,-0.59,2.89,1.97,0.04,-2,-0.48,-0.91,0,Medium,Medium,0.2,0
-0.74,-0.27,0.66,0.34,-0.59,0.78,0.94,0.36,-0.49,-0.64,-1.08,0,Medium,Medium,0.2,0
