fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.292179891,2.464908805,-2.317006212,-0.730539313,1.113266613,-1.169939503,-1.504714298,1.253727181,1.862503857,0.303327284,-0.990800281,-0.972615974
0.6660995,2.865566717,-2.019376557,-0.63719699,1.851791419,-0.925601486,-1.137468898,0.967083763,0.22670688,1.009227707,-0.653350557,-0.972615974
0.292179891,2.19780353,-2.317006212,-0.753874894,1.067108812,-1.047770494,-1.394540678,1.253727181,1.862503857,0.303327284,-0.990800281,-0.972615974
0.759579403,1.797145619,-1.87056173,-0.800546056,0.79016201,-0.925601486,-1.045657549,0.752101199,0.488434396,-0.481006517,-0.990800281,-0.972615974
0.19869999,2.131027212,-2.317006212,-0.893888379,0.605530807,-0.925601486,-1.743423808,0.107153508,1.077321307,-0.402573137,-0.484625694,1.379926093
0.6660995,1.663592982,-2.168191385,-0.707203733,0.974793212,-1.292108511,-1.798510618,0.895422909,0.881025671,0.381760665,-0.906437849,1.379926093
0.385659794,1.129382432,0.36166068,0.249555082,0.88247761,-0.803432478,-0.256079939,1.253727181,0.815593791,2.18572841,-0.062813539,-0.972615974
-0.362179424,1.663592982,-1.721746903,-0.753874894,2.082580422,-0.925601486,-0.935483928,0.572949063,0.357570638,0.146460525,-1.159525143,-0.972615974
-1.390458349,1.897310097,-2.317006212,-0.800546056,1.713318019,-0.864516981,-1.045657549,-0.000337773,2.32052701,-0.010406236,-0.568988125,-0.972615974
1.320458816,-0.339696578,1.849808954,-0.753874894,1.851791419,0.296088598,-0.237717668,0.931253336,0.488434396,1.79356151,-0.062813539,1.379926093
0.292179891,1.730369301,-1.721746903,-0.147149793,1.574844618,-1.475362023,-1.596525649,1.110405472,1.011889429,-0.167272996,-1.328250005,-2.148887009
1.694378425,-0.740354489,1.254549644,-0.753874894,1.159424413,-0.070418427,-1.027295278,0.895422909,1.077321307,0.068027144,-0.990800281,0.203655059
0.479139696,0.394842928,-0.010376389,-0.63719699,1.390213415,-0.436925453,-0.825310308,1.39704889,1.927935735,1.009227707,-0.737712988,-0.972615974
1.320458816,1.062606114,-1.498524662,-0.63719699,1.482529016,-1.292108511,-0.898759388,0.895422909,-0.362180032,0.068027144,-0.990800281,-0.972615974
-0.175219619,0.461619246,-1.27530242,-0.61386141,1.528686816,-0.559094461,-1.394540678,0.895422909,1.339048824,0.852360947,-0.737712988,0.203655059
-0.736099033,0.394842928,-1.126487593,-0.847217217,1.297897815,-1.169939503,-1.706699269,0.429627354,0.750161912,0.303327284,-1.075162712,-0.972615974
0.479139696,0.528395565,-0.531228284,-0.753874894,1.297897815,-1.597531031,-1.927046508,0.680440345,0.357570638,0.538627426,-0.906437849,-0.972615974
0.011740185,2.531685124,-2.317006212,-0.730539313,1.297897815,-0.98668599,-1.486352028,1.038744618,1.60077634,0.224893905,-0.990800281,-0.972615974
0.6660995,2.097639053,-2.317006212,-0.707203733,1.390213415,-1.353193015,-1.835235159,0.752101199,1.011889429,0.538627426,-0.653350557,0.203655059
-0.362179424,2.297968009,-1.796154317,-0.61386141,1.713318019,-0.803432478,-0.623325339,0.537118636,0.815593791,0.146460525,-0.400263264,-0.972615974
-0.175219619,2.364744328,-2.317006212,-0.590525829,2.451842825,-0.498009956,-1.449627488,0.823762054,1.535344461,0.381760665,0.021548893,0.203655059
